service_id,date,exception_type
JAN25-AlbRMB-Weekday-00,20250217,2
JAN25-AlbRMB-Weekday-00-0100000,20250217,2
JAN25-AlbRMB-Weekday-00-0001000,20250217,2
JAN25-AlbRMB-Weekday-00-1111000,20250217,2
JAN25-AlbRMB-Weekday-00-0000100,20250217,2
JAN25-AlbRMB-Weekday-00,20250218,2
JAN25-AlbRMB-Weekday-00-0100000,20250218,2
JAN25-AlbRMB-Weekday-00-0001000,20250218,2
JAN25-AlbRMB-Weekday-00-1111000,20250218,2
JAN25-AlbRMB-Weekday-00-0000100,20250218,2
JAN25-AlbRMB-Weekday-00,20250219,2
JAN25-AlbRMB-Weekday-00-0100000,20250219,2
JAN25-AlbRMB-Weekday-00-0001000,20250219,2
JAN25-AlbRMB-Weekday-00-1111000,20250219,2
JAN25-AlbRMB-Weekday-00-0000100,20250219,2
JAN25-AlbRMB-Weekday-00,20250220,2
JAN25-AlbRMB-Weekday-00-0100000,20250220,2
JAN25-AlbRMB-Weekday-00-0001000,20250220,2
JAN25-AlbRMB-Weekday-00-1111000,20250220,2
JAN25-AlbRMB-Weekday-00-0000100,20250220,2
JAN25-AlbRMB-Weekday-00,20250221,2
JAN25-AlbRMB-Weekday-00-0100000,20250221,2
JAN25-AlbRMB-Weekday-00-0001000,20250221,2
JAN25-AlbRMB-Weekday-00-1111000,20250221,2
JAN25-AlbRMB-Weekday-00-0000100,20250221,2
JAN25-AlbRMB-Weekday-00,20250414,2
JAN25-AlbRMB-Weekday-00-0100000,20250414,2
JAN25-AlbRMB-Weekday-00-0001000,20250414,2
JAN25-AlbRMB-Weekday-00-1111000,20250414,2
JAN25-AlbRMB-Weekday-00-0000100,20250414,2
JAN25-AlbRMB-Weekday-00,20250415,2
JAN25-AlbRMB-Weekday-00-0100000,20250415,2
JAN25-AlbRMB-Weekday-00-0001000,20250415,2
JAN25-AlbRMB-Weekday-00-1111000,20250415,2
JAN25-AlbRMB-Weekday-00-0000100,20250415,2
JAN25-AlbRMB-Weekday-00,20250416,2
JAN25-AlbRMB-Weekday-00-0100000,20250416,2
JAN25-AlbRMB-Weekday-00-0001000,20250416,2
JAN25-AlbRMB-Weekday-00-1111000,20250416,2
JAN25-AlbRMB-Weekday-00-0000100,20250416,2
JAN25-AlbRMB-Weekday-00,20250417,2
JAN25-AlbRMB-Weekday-00-0100000,20250417,2
JAN25-AlbRMB-Weekday-00-0001000,20250417,2
JAN25-AlbRMB-Weekday-00-1111000,20250417,2
JAN25-AlbRMB-Weekday-00-0000100,20250417,2
JAN25-AlbRMB-Weekday-00,20250418,2
JAN25-AlbRMB-Weekday-00-0100000,20250418,2
JAN25-AlbRMB-Weekday-00-0001000,20250418,2
JAN25-AlbRMB-Weekday-00-1111000,20250418,2
JAN25-AlbRMB-Weekday-00-0000100,20250418,2
JAN25-AlbRMB-Weekday-00,20250526,2
JAN25-AlbRMB-Weekday-00-0100000,20250526,2
JAN25-AlbRMB-Weekday-00-0001000,20250526,2
JAN25-AlbRMB-Weekday-00-1111000,20250526,2
JAN25-AlbRMB-Weekday-00-0000100,20250526,2
JAN25-AlbRMB-Weekday-00,20250619,2
JAN25-AlbRMB-Weekday-00-0100000,20250619,2
JAN25-AlbRMB-Weekday-00-0001000,20250619,2
JAN25-AlbRMB-Weekday-00-1111000,20250619,2
JAN25-AlbRMB-Weekday-00-0000100,20250619,2
JAN25-AlbRMB-Sunday-00,20250526,1
JAN25-AlbRMB-Weekday-02,20250218,2
JAN25-AlbRMB-Weekday-02,20250219,2
JAN25-AlbRMB-Weekday-02,20250220,2
JAN25-AlbRMB-Weekday-02,20250221,2
JAN25-AlbRMB-Weekday-02,20250224,2
JAN25-AlbRMB-Weekday-02,20250225,2
JAN25-AlbRMB-Weekday-02,20250226,2
JAN25-AlbRMB-Weekday-02,20250227,2
JAN25-AlbRMB-Weekday-02,20250228,2
JAN25-AlbRMB-Weekday-02,20250303,2
JAN25-AlbRMB-Weekday-02,20250304,2
JAN25-AlbRMB-Weekday-02,20250305,2
JAN25-AlbRMB-Weekday-02,20250306,2
JAN25-AlbRMB-Weekday-02,20250307,2
JAN25-AlbRMB-Weekday-02,20250310,2
JAN25-AlbRMB-Weekday-02,20250311,2
JAN25-AlbRMB-Weekday-02,20250312,2
JAN25-AlbRMB-Weekday-02,20250313,2
JAN25-AlbRMB-Weekday-02,20250314,2
JAN25-AlbRMB-Weekday-02,20250317,2
JAN25-AlbRMB-Weekday-02,20250318,2
JAN25-AlbRMB-Weekday-02,20250319,2
JAN25-AlbRMB-Weekday-02,20250320,2
JAN25-AlbRMB-Weekday-02,20250321,2
JAN25-AlbRMB-Weekday-02,20250324,2
JAN25-AlbRMB-Weekday-02,20250325,2
JAN25-AlbRMB-Weekday-02,20250326,2
JAN25-AlbRMB-Weekday-02,20250327,2
JAN25-AlbRMB-Weekday-02,20250328,2
JAN25-AlbRMB-Weekday-02,20250331,2
JAN25-AlbRMB-Weekday-02,20250401,2
JAN25-AlbRMB-Weekday-02,20250402,2
JAN25-AlbRMB-Weekday-02,20250403,2
JAN25-AlbRMB-Weekday-02,20250404,2
JAN25-AlbRMB-Weekday-02,20250407,2
JAN25-AlbRMB-Weekday-02,20250408,2
JAN25-AlbRMB-Weekday-02,20250409,2
JAN25-AlbRMB-Weekday-02,20250410,2
JAN25-AlbRMB-Weekday-02,20250411,2
JAN25-AlbRMB-Weekday-02,20250414,2
JAN25-AlbRMB-Weekday-02,20250415,2
JAN25-AlbRMB-Weekday-02,20250416,2
JAN25-AlbRMB-Weekday-02,20250417,2
JAN25-AlbRMB-Weekday-02,20250418,2
JAN25-AlbRMB-Weekday-02,20250421,2
JAN25-AlbRMB-Weekday-02,20250422,2
JAN25-AlbRMB-Weekday-02,20250423,2
JAN25-AlbRMB-Weekday-02,20250424,2
JAN25-AlbRMB-Weekday-02,20250425,2
JAN25-AlbRMB-Weekday-02,20250428,2
JAN25-AlbRMB-Weekday-02,20250429,2
JAN25-AlbRMB-Weekday-02,20250430,2
