route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
712-226,JAN25-AlbRMB-Weekday-00,11763505-JAN25-AlbRMB-Weekday-00,"UAlbany Collins Circle to Quail/WAMC",0,7120403,1,1
712-226,JAN25-AlbRMB-Weekday-00,11763506-JAN25-AlbRMB-Weekday-00,"Quail/WAMC to UAlbany Collins Circle",1,7120404,1,1
712-226,JAN25-AlbRMB-Weekday-00,11763507-JAN25-AlbRMB-Weekday-00,"Quail/WAMC to UAlbany Collins Circle",1,7120404,1,1
712-226,JAN25-AlbRMB-Weekday-00,11763508-JAN25-AlbRMB-Weekday-00,"Quail/WAMC to UAlbany Collins Circle",1,7120404,1,1
712-226,JAN25-AlbRMB-Weekday-00,11763509-JAN25-AlbRMB-Weekday-00,"UAlbany Collins Circle to Quail/WAMC",0,7120403,1,1
712-226,JAN25-AlbRMB-Weekday-00,11763510-JAN25-AlbRMB-Weekday-00,"UAlbany Collins Circle to Quail/WAMC",0,7120403,1,1
712-226,JAN25-AlbRMB-Weekday-00,11763511-JAN25-AlbRMB-Weekday-00,"UAlbany Collins Circle to Quail/WAMC",0,7120403,1,1
519-226,JAN25-AlbRMB-Weekday-00,11763512-JAN25-AlbRMB-Weekday-00,"Downtown Albany to Elm Ave Park & Ride",1,5190090,1,1
519-226,JAN25-AlbRMB-Weekday-00,11763513-JAN25-AlbRMB-Weekday-00,"Elm Ave Park & Ride to Downtown Albany",0,5190092,1,1
519-226,JAN25-AlbRMB-Weekday-00,11763514-JAN25-AlbRMB-Weekday-00,"Elm Ave Park & Ride to Downtown Albany",0,5190092,1,1
519-226,JAN25-AlbRMB-Weekday-00,11763515-JAN25-AlbRMB-Weekday-00,"Downtown Albany to Elm Ave Park & Ride",1,5190090,1,1
524-226,JAN25-AlbRMB-Weekday-00,11763516-JAN25-AlbRMB-Weekday-00,"AM 80 Broadway via ESP Concourse to Kiernan Plaza",0,5240137,1,1
813-226,JAN25-AlbRMB-Weekday-00-0100000,11763517-JAN25-AlbRMB-Weekday-00-0100000,"St. Sophia Apartments to Crossgates",0,8130105,1,1
813-226,JAN25-AlbRMB-Weekday-00-0100000,11763518-JAN25-AlbRMB-Weekday-00-0100000,"Ravena to Albany",0,8130103,1,1
813-226,JAN25-AlbRMB-Weekday-00-0100000,11763519-JAN25-AlbRMB-Weekday-00-0100000,"Albany to Ravena",1,8130108,1,1
233-226,JAN25-AlbRMB-Weekday-00,11763520-JAN25-AlbRMB-Weekday-00,"Schodack to ESP/Downtown Albany",1,2330347,1,1
233-226,JAN25-AlbRMB-Weekday-00,11763521-JAN25-AlbRMB-Weekday-00,"Pearl & Beaver to Schodack",0,2330370,1,1
233-226,JAN25-AlbRMB-Weekday-00,11763522-JAN25-AlbRMB-Weekday-00,"Pearl & Beaver to Schodack",0,2330370,1,1
233-226,JAN25-AlbRMB-Weekday-00,11763523-JAN25-AlbRMB-Weekday-00,"Broadway Station to Nassau via Schodack P&R",0,2330400,1,1
233-226,JAN25-AlbRMB-Weekday-00,11763524-JAN25-AlbRMB-Weekday-00,"Schodack to Pearl & Hudson",1,2330371,1,1
233-226,JAN25-AlbRMB-Weekday-00,11763525-JAN25-AlbRMB-Weekday-00,"Schodack to ESP/Downtown Albany",1,2330368,1,1
233-226,JAN25-AlbRMB-Weekday-00,11763526-JAN25-AlbRMB-Weekday-00,"Schodack to ESP/Downtown Albany",1,2330338,1,1
233-226,JAN25-AlbRMB-Weekday-00,11763527-JAN25-AlbRMB-Weekday-00,"Nassau to ESP/Downtown Albany via Schodack P&R",1,2330401,1,1
233-226,JAN25-AlbRMB-Weekday-00,11763528-JAN25-AlbRMB-Weekday-00,"Pearl & Beaver to Schodack",0,2330370,1,1
233-226,JAN25-AlbRMB-Weekday-00,11763529-JAN25-AlbRMB-Weekday-00,"Broadway Station to Schodack",0,2330341,1,1
233-226,JAN25-AlbRMB-Weekday-00,11763530-JAN25-AlbRMB-Weekday-00,"Nassau to ESP/Downtown Albany via Schodack P&R",1,2330401,1,1
233-226,JAN25-AlbRMB-Weekday-00,11763531-JAN25-AlbRMB-Weekday-00,"Broadway Station to Schodack",0,2330369,1,1
233-226,JAN25-AlbRMB-Weekday-00,11763532-JAN25-AlbRMB-Weekday-00,"Broadway Station to Schodack",0,2330341,1,1
233-226,JAN25-AlbRMB-Weekday-00,11763533-JAN25-AlbRMB-Weekday-00,"Schodack to ESP/Downtown Albany",1,2330338,1,1
233-226,JAN25-AlbRMB-Weekday-00,11763534-JAN25-AlbRMB-Weekday-00,"Schodack to ESP/Downtown Albany",1,2330347,1,1
