service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
JAN25-AlbRMB-Weekday-00,1,1,1,1,1,0,0,20250211,20250627
JAN25-AlbRMB-Weekday-00-0100000,0,1,0,0,0,0,0,20250211,20250627
JAN25-AlbRMB-Weekday-00-0001000,0,0,0,1,0,0,0,20250211,20250627
JAN25-AlbRMB-Weekday-00-1111000,1,1,1,1,0,0,0,20250211,20250627
JAN25-AlbRMB-Weekday-00-0000100,0,0,0,0,1,0,0,20250211,20250627
JAN25-AlbRMB-Saturday-00,0,0,0,0,0,1,0,20250215,20250628
JAN25-AlbRMB-Sunday-00,0,0,0,0,0,0,1,20250216,20250622
JAN25-AlbRMB-Weekday-02,1,1,1,1,1,0,0,20250217,20250619
JAN25-AlbRMB-Weekday-01,1,1,1,1,1,0,0,20250218,20250418
JAN25-AlbRMB-Weekday-01-0100000,0,1,0,0,0,0,0,20250218,20250418
JAN25-AlbRMB-Weekday-01-0001000,0,0,0,1,0,0,0,20250218,20250418
JAN25-AlbRMB-Weekday-01-0000100,0,0,0,0,1,0,0,20250218,20250418
JAN25-GFRMB-Weekday-00,1,1,1,1,1,0,0,20250211,20250627
JAN25-GFRMB-Saturday-00,0,0,0,0,0,1,0,20250215,20250628
JAN25-GFRMB-Weekday-02,1,1,1,1,1,0,0,20250217,20250418
JAN25-NX-Weekday-01,1,1,1,1,1,0,0,20250211,20250627
JAN25-SarRMB-Weekday-00,1,1,1,1,1,0,0,20250211,20250529
JAN25-SarRMB-Weekday-00-0100000,0,1,0,0,0,0,0,20250211,20250529
JAN25-SarRMB-Weekday-00-0001100,0,0,0,1,1,0,0,20250211,20250529
JAN25-SarRMB-Saturday-00,0,0,0,0,0,1,0,20250215,20250524
JAN25-SarRMB-Weekday-04,1,1,1,1,1,0,0,20250217,20250217
JAN25-SarRMB-Weekday-03,1,1,1,1,1,0,0,20250218,20250520
JAN25-SarRMB-Weekday-03-0100000,0,1,0,0,0,0,0,20250218,20250520
JAN25-SarRMB-Weekday-03-0001100,0,0,0,1,1,0,0,20250218,20250520
JAN25-Saratoga-Sunday-01,0,0,0,0,0,0,1,20250526,20250526
JAN25-SarRMB-Weekday-02,1,1,1,1,1,0,0,20250530,20250627
JAN25-SarRMB-Weekday-02-0100000,0,1,0,0,0,0,0,20250530,20250627
JAN25-SarRMB-Saturday-02,0,0,0,0,0,1,0,20250531,20250628
JAN25-SchRMB-Weekday-03,1,1,1,1,1,0,0,20250211,20250627
JAN25-SchRMB-Saturday-00,0,0,0,0,0,1,0,20250215,20250628
JAN25-SchRMB-Sunday-00,0,0,0,0,0,0,1,20250216,20250622
JAN25-SchRMB-Weekday-04,1,1,1,1,1,0,0,20250217,20250418
JAN25-Star-Weekday-01,1,1,1,1,1,0,0,20250211,20250627
JAN25-Star-Weekday-01-0001000,0,0,0,1,0,0,0,20250211,20250627
JAN25-TroyRMB-Weekday-00,1,1,1,1,1,0,0,20250211,20250627
JAN25-TroyRMB-Weekday-00-0010000,0,0,1,0,0,0,0,20250211,20250627
JAN25-TroyRMB-Weekday-00-0000100,0,0,0,0,1,0,0,20250211,20250627
JAN25-TroyRMB-Saturday-00,0,0,0,0,0,1,0,20250215,20250628
JAN25-TroyRMB-Sunday-00,0,0,0,0,0,0,1,20250216,20250622
JAN25-TroyRMB-Weekday-02,1,1,1,1,1,0,0,20250217,20250217
JAN25-TroyRMB-Weekday-01,1,1,1,1,1,0,0,20250218,20250619
JAN25-TroyRMB-Weekday-01-0010000,0,0,1,0,0,0,0,20250218,20250619
JAN25-TroyRMB-Weekday-01-0000100,0,0,0,0,1,0,0,20250218,20250619
JAN25-TroyRMB-Weekday-03,1,1,1,1,1,0,0,20250527,20250625
JAN25-TroyRMB-Weekday-03-0010000,0,0,1,0,0,0,0,20250527,20250625
