fare_id,route_id,origin_id,destination_id,contains_id
base,1-224,,,
base,1-226,,,
base,10-224,,,
base,10-226,,,
base,12-224,,,
base,12-226,,,
base,13-224,,,
base,13-226,,,
base,18-224,,,
base,18-226,,,
base,22-224,,,
base,85-224,,,
base,87-224,,,
base,100-224,,,
base,100-226,,,
base,106-224,,,
base,106-226,,,
base,107-224,,,
base,107-226,,,
base,114-224,,,
base,114-226,,,
base,117-224,,,
base,117-226,,,
base,125-224,,,
base,125-226,,,
base,155-224,,,
base,182-224,,,
base,190-224,,,
base,214-224,,,
base,214-226,,,
base,224-224,,,
base,233-224,,,
base,233-226,,,
base,286-224,,,
base,289-224,,,
base,351-224,,,
base,352-224,,,
base,353-224,,,
base,354-224,,,
base,355-224,,,
base,355-226,,,
base,370-224,,,
base,402-224,,,
base,404-224,,,
base,405-224,,,
base,407-224,,,
base,411-224,,,
base,412-224,,,
base,419-224,,,
base,450-224,,,
base,451-224,,,
base,452-224,,,
base,519-226,,,
base,524-226,,,
base,560-208,,,
base,600-224,,,
base,601-224,,,
base,602-224,,,
base,605-224,,,
base,712-226,,,
base,737-226,,,
base,763-224,,,
base,801-226,,,
base,802-224,,,
base,803-226,,,
base,804-224,,,
base,805-226,,,
base,806-226,,,
base,807-226,,,
base,808-226,,,
base,810-224,,,
base,811-226,,,
base,812-226,,,
base,813-226,,,
base,815-224,,,
base,821-197,,,
base,830-224,,,
base,840-224,,,
baseBP,905-224,,,
baseBP,910-224,,,
baseBP,910-226,,,
baseBP,922-224,,,
baseBP,923-224,,,
nx_zone_1,540-208,1,,
nx_zone_2,540-208,2,,
nx_zone_3,540-208,3,,
