route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
1-226,1,1,"Central Avenue","Central Avenue, between Colonie Center and Downtown Albany (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=1,123573,FFFFFF,1
10-226,1,10,"Western Avenue","Western Avenue, between Crossgates Mall, Stuyvesant Plaza and Downtown Albany (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=10,123573,FFFFFF,2
12-226,1,12,"Washington Avenue","Washington Avenue, between Crossgates Mall, Crossgates Commons, UAlbany and Downtown Albany (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=12,123573,FFFFFF,3
13-226,1,13,"New Scotland Avenue","New Scotland Avenue, between Downtown Albany via St. Peter's Hospital and Albany Medical Center (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=13,123573,FFFFFF,4
18-226,1,18,"Delaware Avenue","Delaware Avenue, between Albany via Delmar (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=18,123573,FFFFFF,5
22-226,1,22,"Albany - Troy via Watervliet","Albany/Troy via Watervliet, between Empire State Plaza, Albany and Fulton & 4th, Troy (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=22,123573,FFFFFF,6
85-226,1,85,"Fifth Avenue","Between Lansingburgh, South Troy via 5th Avenue and 4th Street (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=85,123573,FFFFFF,7
87-226,1,87,"Hoosick St - RPI","Downtown Troy between State St. & 4th Ave, Brunswick Plaza, Hoosick St and Burdett Ave  (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=87,123573,FFFFFF,8
96-226,1,96,"Grafton State Park","Downtown Troy, via Hoosick St., Route 7 (summer service-7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=96,A52A2A,FFFFFF,9
100-226,1,100,"Mid City Belt","Pearl Street, Morton Avenue, Quail Street, Livingston Avenue and Lark Drive (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=100,008000,FFFFFF,10
106-226,1,106,"Uptown Belt","Via Pearl Street, Second Ave, Whitehall Rd, Allen Street, Livingston Ave and Lark Drive (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=106,008000,FFFFFF,11
107-226,1,107,"Albany Glenmont","Between Albany and Glenmont via Pearl St, Mt. Hope and 9w (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=107,008000,FFFFFF,12
114-226,1,114,"Madison Ave - Western Ave","Between Crossgates Mall, UAlbany, Downtown Albany, and Rensselaer Rail Station (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=114,008000,FFFFFF,13
117-226,1,117,"Colonie Crosstown","Between Crossgates Mall, Colonie Center and Albany Internation Airport (weekdays and Saturdays)",3,https://www.cdta.org/schedules-route-detail?route_id=117,008000,FFFFFF,14
125-226,1,125,"Clinton Ave - Sand Creek Rd.","Clinton Ave, Sand Creek Rd., Colonie Center and Downtown Albany (weekdays and Saturdays)",3,https://www.cdta.org/schedules-route-detail?route_id=125,008000,FFFFFF,15
155-226,1,155,"Suburban Circulator","From Crossgates Mall to Albany International Airport via Route 155 (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=155,008000,FFFFFF,16
182-226,1,182,"Troy - Albany via Cohoes and Latham","Troy/Albany via Cohoes/Latham, from Downtown Troy, Watervliet, Green Island, Cohoes and Latham Farms, Latham Shoppes to Albany (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=182,008000,FFFFFF,17
190-226,1,190,"Fuller Rd - Wolf Road","From Latham Farms, Wolf Road and Crossgates Mall (weekdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=190,008000,FFFFFF,18
214-226,1,214,"Rensselaer 3rd Street","Rensselaer 3rd Street/Amtrak, via Downtown Albany (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=214,008000,FFFFFF,19
224-226,1,224,"Albany - Troy via I-90","Between Downtown Albany, via Route 4 and Downtown Troy (weekdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=224,008000,FFFFFF,20
233-226,1,233,"Albany - Schodack","Between Downtown Albany and Schodak Park & Ride (weekdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=233,008000,FFFFFF,21
286-226,1,286,"Troy / Wynantskill","Troy/Wynantskill via RPI Campus, between Downtown Troy and Wynantskill (weekdays and Saturdays)",3,https://www.cdta.org/schedules-route-detail?route_id=286,008000,FFFFFF,22
289-226,1,289,"Griswold Heights - St. Mary's Hospital","Griswold Heights, Downtown Troy and St. Mary's Hospital (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=289,008000,FFFFFF,23
351-226,1,351,"Van Vranken Ave - Broadway","Yates Village, Union College and Department of Social Services, Rotterdam Industrial Park (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=351,008000,FFFFFF,24
352-226,1,352,"McClellan Street-Altamont Ave.","McClellan St/Altamont Ave, between Ellis Hospital, Sheridan Village and Walmart, Price Chopper (weekdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=352,008000,FFFFFF,25
353-226,1,353,"Scotia-Mt.Pleasant","Scotia/Mt. Pleasant, between Glenville Walmart, Hamilton Hill and Altamont Avenue (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=353,008000,FFFFFF,26
354-226,1,354,"Rotterdam Square Mall - Nott Street","Ellis Hospital, Shop Rite Plaza, Union College, Downtown Schenectady, via Port Rotterdam (weekdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=354,008000,FFFFFF,27
355-226,1,355,"Schenectady Wolf Road","Schenectady/Colonie, between Downtown Schenectady and Colonie Center (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=355,008000,FFFFFF,28
370-226,1,370,"Troy/Schenectady","Troy/Schenectady, between Downtown Troy, Latham Farms, Downtown Schenectady and Rivers Casino (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=370,008000,FFFFFF,29
402-226,1,402,"Bay/College","Between Ridge Street Terminal and SUNY Adirondack",3,https://www.cdta.org/schedules-route-detail?route_id=402,008000,FFFFFF,30
403-226,1,403,"Moreau to Wilton Mall","",3,https://www.cdta.org/schedules-route-detail?route_id=403,008000,FFFFFF,31
404-226,1,404,"Hudson Falls / Fort Edward","Between Ridge Street Terminal and Fort Edward Amtrak Station",3,https://www.cdta.org/schedules-route-detail?route_id=404,008000,FFFFFF,32
405-226,1,405,"Moreau / S. Glens Falls","Between Ridge Street Terminal, South Glens Falls, and Moreau",3,https://www.cdta.org/schedules-route-detail?route_id=405,008000,FFFFFF,33
407-226,1,407,"West Glens Falls","Between Ridge Street Terminal and West Glens Falls",3,https://www.cdta.org/schedules-route-detail?route_id=407,008000,FFFFFF,34
411-226,1,411,"Glen St / Walmart","Between Ridge St. Terminal and Route 9 Walmart",3,https://www.cdta.org/schedules-route-detail?route_id=411,008000,FFFFFF,35
412-226,1,412,"Glen St / Aviation Mall","Between Ridge St. Terminal, Aviation Mall, and Montcalm Apts",3,https://www.cdta.org/schedules-route-detail?route_id=412,008000,FFFFFF,36
413-226,1,413,"Ridge St. Terminal to Walmart Via Bay College","",3,https://www.cdta.org/schedules-route-detail?route_id=413,008000,FFFFFF,37
419-226,1,419,"Route 9 / Lake George","Between Ridge Street Terminal and Lake George Village",3,https://www.cdta.org/schedules-route-detail?route_id=419,008000,FFFFFF,38
450-226,1,450,"Schenectady - Wilton via Route 50","Route 50, between Downtown Schenectady, Saratoga (High Rock/Milton), and Wilton (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=450,008000,FFFFFF,39
451-226,1,451,"Ballston Avenue/W.Saratoga via East Ave & Lake Ave","Between Saratoga YMCA, Saratoga Rail Station, Stewards Ice Cream Plant via Downtown Saratoga Springs (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=451,008000,FFFFFF,40
452-226,1,452,"Skidmore College/Downtown Saratoga","Between Skidmore College and Downtown Saratoga Springs (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=452,008000,FFFFFF,41
519-226,1,519,"Delmar Bypass Express","Between Elm Ave Park & Ride and Downtown Albany (weekdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=519,FFFB00,000000,42
524-226,1,524,"Broadway Menands Express","Broadway Menands Express, 80 Broadway Lot, via ESP Concourse, Swan & Washington Ave, State Capital (weekdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=524,FFFB00,000000,43
540-226,1,540,"NX - Northway Express","Northway Express- Exits 8,9,11,12,15, Ballston Spa, Downtown Saratoga, South Glens Falls and Corporate Woods (weekdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=540,FFD700,000000,44
